player_id,player_name,player_nickname,jersey_number,country_id,country_name,position_id,position_name,team_name
6334,Luis Fernando Muriel Fruto,Luis Muriel,14,49,Colombia,22,Right Center Forward,Sevilla
6400,Aleix Vidal Parreu,Aleix Vidal,11,214,Spain,,,Sevilla
6719,Franco Damián Vázquez,Franco Vázquez,22,11,Argentina,20,Left Attacking Midfield,Sevilla
6720,Pablo Sarabia García,Pablo Sarabia,17,214,Spain,18,Right Attacking Midfield,Sevilla
6723,Wissam Ben Yedder,,9,78,France,24,Left Center Forward,Sevilla
6724,Manuel Agudo Durán,Nolito,8,214,Spain,,,Sevilla
6804,Sergi Gómez Solà,Sergi Gómez,3,214,Spain,5,Left Center Back,Sevilla
6821,Jesús Navas González,Jesús Navas,16,214,Spain,7,Right Wing Back,Sevilla
6825,Daniel Filipe Martins Carriço,Daniel Carriço,6,183,Portugal,4,Center Back,Sevilla
6919,Guilherme Antonio Arana Lopes,Guilherme Arana,23,31,Brazil,8,Left Wing Back,Sevilla
11541,Tomáš Vaclík,,1,60,Czech Republic,1,Goalkeeper,Sevilla
13360,Quincy Anton Promes,Quincy Promes,21,160,Netherlands,,,Sevilla
23921,Juan Soriano Oropesa,Juan Soriano,13,214,Spain,,,Sevilla
13599,Carles Aleña Castillo,Carles Aleñà,26,214,Spain,9,Right Defensive Midfield,Barcelona
3313,Giovani Lo Celso,,21,11,Argentina,21,Left Wing,Real Betis
5214,William Silva de Carvalho,William Carvalho,14,183,Portugal,11,Left Defensive Midfield,Real Betis
5563,José Andrés Guardado Hernández,Andrés Guardado,18,147,Mexico,9,Right Defensive Midfield,Real Betis
5687,Takashi Inui,,8,114,Japan,21,Left Wing,Real Betis
6647,Zouhair Feddal,,4,154,Morocco,,,Real Betis
6648,Aïssa Mandi,,23,4,Algeria,3,Right Center Back,Real Betis
6651,Joaquín Sánchez Rodríguez,Joaquín,17,214,Spain,24,Left Center Forward,Real Betis
6657,Sergio León Limones,Sergio León,7,214,Spain,23,Center Forward,Real Betis
6658,Cristian Tello Herrera,Cristian Tello,11,214,Spain,7,Right Wing Back,Real Betis
6663,Antonio Barragán Fernández,Antonio Barragán,19,214,Spain,,,Real Betis
6673,Sergio Canales Madrazo,Sergio Canales,6,214,Spain,17,Right Wing,Real Betis
6777,Sidnei Rechel da Silva Júnior,Sidnei,12,31,Brazil,5,Left Center Back,Real Betis
6792,Pau López Sabata,Pau López,13,214,Spain,1,Goalkeeper,Real Betis
6880,Arnaldo Antonio Sanabria Ayala,Antonio Sanabria,9,178,Paraguay,,,Real Betis
7068,Marc Bartra Aregall,Marc Bartra,5,214,Spain,4,Center Back,Real Betis
7910,Lorenzo Jesús Morón García,Loren Morón,16,214,Spain,23,Center Forward,Real Betis
16309,Joel Robles Blázquez,Joel Robles,1,214,Spain,,,Real Betis
17304,Héctor Junior Firpo Adames,Junior Firpo,20,214,Spain,8,Left Wing Back,Real Betis
3245,Thomas Lemar,,11,78,France,16,Left Midfield,Atlético Madrid
5198,Diego da Silva Costa,Diego Costa,19,214,Spain,24,Left Center Forward,Atlético Madrid
5199,Jorge Resurrección Merodio,Koke,6,214,Spain,15,Left Center Midfield,Atlético Madrid
5484,Lucas Hernández Pi,Lucas Hernandez,21,78,France,5,Left Center Back,Atlético Madrid
5487,Antoine Griezmann,,7,78,France,22,Right Center Forward,Atlético Madrid
5696,Santiago Arias Naranjo,Santiago Arias,4,49,Colombia,2,Right Back,Atlético Madrid
5723,Gelson Dany Batalha Martins,Gelson Martins,18,183,Portugal,,,Atlético Madrid
6320,Filipe Luís Kasmirski,Filipe Luis,3,31,Brazil,6,Left Back,Atlético Madrid
6376,Stefan Savić,,15,152,Montenegro,3,Right Center Back,Atlético Madrid
6377,Ángel Martín Correa,Ángel Correa,10,11,Argentina,24,Left Center Forward,Atlético Madrid
6378,Jan Oblak,,13,208,Slovenia,1,Goalkeeper,Atlético Madrid
6381,Saúl Ñíguez Esclapez,Saúl Ñíguez,8,214,Spain,12,Right Midfield,Atlético Madrid
6383,Thomas Teye Partey,Thomas Partey,5,86,Ghana,,,Atlético Madrid
6654,Antonio Adán Garrido,Antonio Adán,1,214,Spain,,,Atlético Madrid
6765,Rodrigo Hernández Cascante,Rodri,14,214,Spain,13,Right Center Midfield,Atlético Madrid
6841,Víctor Machín Pérez,Vitolo,23,214,Spain,16,Left Midfield,Atlético Madrid
7033,Nikola Kalinić,,9,56,Croatia,,,Atlético Madrid
8136,Antonio Moya Vega,Toni Moya,43,214,Spain,,,Atlético Madrid
22197,Juan Miranda González,Juan Miranda,27,214,Spain,,,Barcelona
37237,Ignacio Peña Sotorres,Iñaki Peña,30,214,Spain,,,Barcelona
3551,Karl Brillant Toko Ekambi,Karl Toko Ekambi,17,39,Cameroon,23,Center Forward,Villarreal
4629,José Ramiro Funes Mori,Ramiro Funes Mori,4,11,Argentina,,,Villarreal
5688,Carlos Arturo Bacca Ahumada,Carlos Bacca,9,49,Colombia,16,Left Midfield,Villarreal
6737,Alfonso Pedraza Sag,Alfonso Pedraza,16,214,Spain,6,Left Back,Villarreal
6752,Víctor Ruíz Torre,Víctor Ruíz,6,214,Spain,5,Left Center Back,Villarreal
6753,Daniel Raba Antolín,Dani Raba,22,214,Spain,13,Right Center Midfield,Villarreal
6755,Sergio Asenjo Andrés,Sergio Asenjo,1,214,Spain,1,Goalkeeper,Villarreal
6762,Álvaro González Soberón,Álvaro González,3,214,Spain,3,Right Center Back,Villarreal
6764,Pablo Fornals Malla,Pablo Fornals,8,214,Spain,15,Left Center Midfield,Villarreal
6766,Gerard Moreno Balaguero,Gerard Moreno,7,214,Spain,23,Center Forward,Villarreal
6771,Manuel Trigueros Muñoz,Manu Trigueros,14,214,Spain,13,Right Center Midfield,Villarreal
6772,Mario Gaspar Pérez Martínez,Mario Gaspar,2,214,Spain,2,Right Back,Villarreal
6828,Jaume Vicent Costa Jordá,Jaume Costa,11,214,Spain,,,Villarreal
8697,Andrés Eduardo Fernández Moreno,Andrés Fernández,13,214,Spain,,,Villarreal
11384,Manuel Morlanes Ariño,Manu Morlanes,28,214,Spain,,,Villarreal
11385,Santiago Cáseres,,5,11,Argentina,10,Center Defensive Midfield,Villarreal
11386,Santiago Cazorla González,Santi Cazorla,19,214,Spain,13,Right Center Midfield,Villarreal
16335,Samuel Chimerenka Chukwueze,Samuel Chukwueze,30,166,Nigeria,12,Right Midfield,Villarreal
3236,Sergi Darder Moll,Sergi Darder,10,214,Spain,13,Right Center Midfield,Espanyol
5598,Óscar Esau Duarte Gaitán,Óscar Duarte,6,54,Costa Rica,5,Left Center Back,Espanyol
6569,Roberto José Rosales Altuve,Roberto Rosales,8,246,Venezuela (Bolivarian Republic),,,Espanyol
6571,Roberto Jiménez Gago,Roberto Jiménez,1,214,Spain,,,Espanyol
6754,David López Silva,David López,15,214,Spain,3,Right Center Back,Espanyol
6758,Víctor Sánchez Mata,Víctor Sánchez,4,214,Spain,21,Left Wing,Espanyol
6761,Leonardo Carrilho Baptistão,Léo Baptistão,11,31,Brazil,17,Right Wing,Espanyol
6763,Pablo Daniel Piatti,Pablo Piatti,19,11,Argentina,,,Espanyol
6767,Sergio García De La Fuente,Sergio García,9,214,Spain,19,Center Attacking Midfield,Espanyol
6768,Diego López Rodríguez,Diego López,13,214,Spain,1,Goalkeeper,Espanyol
6769,Edinaldo Gomes Pereira,Naldo,5,31,Brazil,,,Espanyol
6770,Esteban Félix Granero Molina,Esteban Granero,23,214,Spain,13,Right Center Midfield,Espanyol
6791,Javier López Rodríguez,Javi López,16,214,Spain,2,Right Back,Espanyol
6838,Hernán Arsenio Pérez González,Hernán Pérez,17,178,Paraguay,17,Right Wing,Espanyol
6866,Marc Roca Junqué,Marc Roca,21,214,Spain,15,Left Center Midfield,Espanyol
