player_id,match_id,first_half_start_time,first_half_end_time,first_half_start_reason,first_half_end_reason,second_half_start_time,second_half_end_time,second_half_start_reason,second_half_end_reason
6582,15986,00:00,84:06,Starting XI,Substitution - Off (Tactical),00:00,84:06,Starting XI,Substitution - Off (Tactical)
6785,15986,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6888,15986,00:00,45:00,Starting XI,Substitution - Off (Tactical),00:00,45:00,Starting XI,Substitution - Off (Tactical)
11292,15986,,,,,,,,
11295,15986,,,,,,,,
17276,15986,84:06,,Substitution - On (Tactical),Final Whistle,84:06,,Substitution - On (Tactical),Final Whistle
34694,15986,,,,,,,,
3109,15998,70:08,,Substitution - On (Tactical),Final Whistle,70:08,,Substitution - On (Tactical),Final Whistle
3501,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5203,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5211,15998,70:01,,Substitution - On (Tactical),Final Whistle,70:01,,Substitution - On (Tactical),Final Whistle
5213,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5246,15998,60:06,,Substitution - On (Tactical),Final Whistle,60:06,,Substitution - On (Tactical),Final Whistle
5470,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5477,15998,00:00,70:08,Starting XI,Substitution - Off (Tactical),00:00,70:08,Starting XI,Substitution - Off (Tactical)
5492,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5503,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6332,15998,00:00,70:01,Starting XI,Substitution - Off (Tactical),00:00,70:01,Starting XI,Substitution - Off (Tactical)
6374,15998,,,,,,,,
6379,15998,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6616,15998,00:00,60:06,Starting XI,Substitution - Off (Tactical),00:00,60:06,Starting XI,Substitution - Off (Tactical)
8206,15998,,,,,,,,
