event_id,team_id,player_id,deflection,offensive,save_block,team_name,player_name,match_id,season_id,competition_id,season_name,competition_name
d11a491b-384b-4135-acd4-e841fac1db6f,217,6379,,,,Barcelona,Sergi Roberto Carnicer,15973,4,11,2018/2019,La Liga
6918b98a-b1bb-499b-8eab-3d5ea8a345ef,902,11676,True,False,False,Huesca,Jorge Miramón Santagertrudis,15973,4,11,2018/2019,La Liga
e6e7c768-0b15-4a9e-b074-535c718cfdbb,217,5492,,,,Barcelona,Samuel Yves Umtiti,15973,4,11,2018/2019,La Liga
dd976a46-1876-4ff6-9905-5492feda67c5,902,11669,,,,Huesca,Gonzalo Julián Melero Manzanares,15973,4,11,2018/2019,La Liga
a50e0239-ad4a-42a7-9672-d1b08d96ee96,902,11673,,,,Huesca,Alejandro Gallar Falguera,15973,4,11,2018/2019,La Liga
6e605a09-0f38-4f27-85a6-711a5f70f728,902,11676,,,,Huesca,Jorge Miramón Santagertrudis,15973,4,11,2018/2019,La Liga
8b9b92af-29c1-466d-b445-f5c297d60e31,902,11669,,,,Huesca,Gonzalo Julián Melero Manzanares,15973,4,11,2018/2019,La Liga
5c926deb-a7e6-4508-9b23-30c67dc8b28f,902,11676,,,,Huesca,Jorge Miramón Santagertrudis,15973,4,11,2018/2019,La Liga
e4a6bc82-5c28-4c9a-8f81-a25baacc3c4d,902,6734,,,,Huesca,Luis Carlos Correia Pinto,15973,4,11,2018/2019,La Liga
678f2ed7-c08a-45f9-9f9d-60a400e9a7d1,902,11669,,,,Huesca,Gonzalo Julián Melero Manzanares,15973,4,11,2018/2019,La Liga
e18def3f-3f6d-4eaa-a4e3-3cd393b61b4f,902,11669,,,,Huesca,Gonzalo Julián Melero Manzanares,15973,4,11,2018/2019,La Liga
015b7524-c8c0-4479-8314-6e301c8dd8e4,217,5211,,,,Barcelona,Jordi Alba Ramos,15973,4,11,2018/2019,La Liga
6ca70021-dae9-4423-97ed-50755b749aac,902,6857,,,,Huesca,Rúben Afonso Borges Semedo,15973,4,11,2018/2019,La Liga
72aa9f86-4447-4014-bf0a-279e896f9c0b,902,6857,,,,Huesca,Rúben Afonso Borges Semedo,15973,4,11,2018/2019,La Liga
c9ede14a-463e-484a-aeef-23aedcfd3aec,210,6694,,,,Real Sociedad,Gerónimo Rulli,15978,4,11,2018/2019,La Liga
648f691f-0469-4956-afc3-66cfb7694868,210,6899,,,,Real Sociedad,Rubén Pardo Gutiérrez,15978,4,11,2018/2019,La Liga
198dc2d1-1b18-4898-8ae0-7d38e3abce1b,217,6379,,,,Barcelona,Sergi Roberto Carnicer,15978,4,11,2018/2019,La Liga
d37c4718-fd68-4fb2-9640-5c21aea7c243,210,6669,,,,Real Sociedad,David Zurutuza Veillet,15978,4,11,2018/2019,La Liga
f7d580c4-94d3-4a9a-9ab9-b033b7fc1fbf,217,5477,,,,Barcelona,Ousmane Dembélé,15978,4,11,2018/2019,La Liga
bd34ea9a-2f28-47f6-90cd-021e5d71322f,217,5477,,,,Barcelona,Ousmane Dembélé,15978,4,11,2018/2019,La Liga
f4e9f88b-9a89-410e-8022-da3cfde38616,217,5211,,,,Barcelona,Jordi Alba Ramos,15978,4,11,2018/2019,La Liga
bcd81c82-ceb6-40f3-861e-e1d11fd3afdc,217,6374,,,,Barcelona,Nélson Cabral Semedo,15978,4,11,2018/2019,La Liga
cb71b2b1-251b-454f-8549-0b5b4a1dd2b6,210,6704,,,,Real Sociedad,Theo Bernard François Hernández,15978,4,11,2018/2019,La Liga
abfcb6b4-7709-4706-a679-b8438c2572e4,210,6676,,,,Real Sociedad,Igor Zubeldia Elorza,15978,4,11,2018/2019,La Liga
3a2ef7e8-c806-4829-b455-3c6edbafb62e,210,6671,,,,Real Sociedad,Asier Illarramendi Andonegi,15978,4,11,2018/2019,La Liga
b46b2e52-82e9-41e9-ba81-8c0841996d18,210,6669,,,,Real Sociedad,David Zurutuza Veillet,15978,4,11,2018/2019,La Liga
b93dcfde-88eb-492e-bcd1-ac8a58df1c1a,210,6669,,,,Real Sociedad,David Zurutuza Veillet,15978,4,11,2018/2019,La Liga
f214648b-3a64-4152-ad5d-73fc4186061d,210,6899,,,,Real Sociedad,Rubén Pardo Gutiérrez,15978,4,11,2018/2019,La Liga
fa45b1b9-dccd-4fc3-8e56-1813be97fcf7,210,5573,,,,Real Sociedad,Héctor Alfredo Moreno Herrera,15978,4,11,2018/2019,La Liga
f5d3d4a9-be87-41f3-878a-e002c9cb5995,217,5470,,,,Barcelona,Ivan Rakitić,15978,4,11,2018/2019,La Liga
42f79b52-af9d-4ad3-8ad1-5789d836deca,217,6379,,,,Barcelona,Sergi Roberto Carnicer,15978,4,11,2018/2019,La Liga
4884f6dc-7b69-40e9-82fc-8c6b9782edfb,210,6676,,,,Real Sociedad,Igor Zubeldia Elorza,15978,4,11,2018/2019,La Liga
3ae45b64-27cc-480a-9872-93fd3119bbf1,217,5211,,,,Barcelona,Jordi Alba Ramos,15978,4,11,2018/2019,La Liga
5b5c2b2e-87f3-4014-a839-cabd73a8795d,210,6676,,,,Real Sociedad,Igor Zubeldia Elorza,15978,4,11,2018/2019,La Liga
92483437-eb72-4563-979d-2210e88423bf,210,6676,True,False,False,Real Sociedad,Igor Zubeldia Elorza,15978,4,11,2018/2019,La Liga
c64fbdf4-4ae1-4ade-b797-02a88a837a2d,210,6899,,,,Real Sociedad,Rubén Pardo Gutiérrez,15978,4,11,2018/2019,La Liga
6aef382d-eb3a-463b-a511-5d20c2af4482,217,3501,,,,Barcelona,Philippe Coutinho Correia,15978,4,11,2018/2019,La Liga
bcd340a9-0487-4c35-be66-5efac3370ab1,210,6671,,,,Real Sociedad,Asier Illarramendi Andonegi,15978,4,11,2018/2019,La Liga
20f99bcd-00a8-4cd9-8669-6ebbb8ebd0c2,210,6704,,,,Real Sociedad,Theo Bernard François Hernández,15978,4,11,2018/2019,La Liga
e3a9784b-4d7e-4e22-88b8-ddbcac28a9df,217,5211,,,,Barcelona,Jordi Alba Ramos,15978,4,11,2018/2019,La Liga
0a29804c-0081-4487-af04-2ba1ac0b9505,210,3042,,,,Real Sociedad,Mikel Merino Zazón,15978,4,11,2018/2019,La Liga
e82b821f-11fb-4a4d-880f-6f5c57f81053,217,8206,,,,Barcelona,Arturo Erasmo Vidal Pardo,15978,4,11,2018/2019,La Liga
d82ef8b0-a03f-4b42-9f90-e3a7d41676b8,210,6676,,,,Real Sociedad,Igor Zubeldia Elorza,15978,4,11,2018/2019,La Liga
67a52f6f-0b0c-436f-9c57-4e4905349232,217,5246,,,,Barcelona,Luis Alberto Suárez Díaz,15978,4,11,2018/2019,La Liga
c7438d7f-a254-4ac2-bd6e-02fa36260759,210,6679,,,,Real Sociedad,Aritz Elustondo Irribaria,15978,4,11,2018/2019,La Liga
86de2d71-4600-4e38-8127-24c9eaf8698f,210,16210,,,,Real Sociedad,Luca Sangalli Fuentes,15978,4,11,2018/2019,La Liga
329ba48a-8ac7-47a1-8ca1-99e6fa229eb3,210,6676,,,,Real Sociedad,Igor Zubeldia Elorza,15978,4,11,2018/2019,La Liga
0cfe6e20-9030-4049-8e2d-5bf655c72221,217,5470,,,,Barcelona,Ivan Rakitić,15978,4,11,2018/2019,La Liga
5f1e3316-8347-4090-ac01-0ebecb085547,211,6560,,,,Girona,Marc Muniesa Martínez,15986,4,11,2018/2019,La Liga
147d9128-77b7-4bf9-82d1-b9c62ad62132,217,6826,,,,Barcelona,Clément Lenglet,15986,4,11,2018/2019,La Liga
